,score,indices,chrom,batch
0,-1.9618081122419164,0,1,0
1,-0.9432790038237496,1,1,0
2,-1.6037443718559214,2,1,0
3,-1.1810461761998958,3,1,0
4,0.1777912655570959,4,1,0
5,-0.2106105625296461,5,1,0
6,-1.363440575098669,6,1,0
7,-0.0471561769359469,7,1,0
8,-2.1291166416689897,8,1,0
9,-0.2126271773861119,9,1,0
10,-2.274580858249201,10,1,0
11,-2.352250361072688,11,1,0
12,-0.495910529594452,12,1,0
13,0.3486427344959029,13,1,0
14,-1.5869607183188026,14,1,0
15,0.6192162935021935,15,1,0
16,-0.8486417831868844,16,1,0
17,-0.6287296439439309,17,1,0
18,-0.3001202828157108,18,1,0
19,-0.6193247531161422,19,1,0
20,-2.194668794338598,20,1,0
21,0.1547002541061555,21,1,0
22,1.6265229142747044,22,1,0
23,-7.059003656905756,23,1,0
24,-1.6960812249673236,24,1,0
25,-0.3289132448228596,25,1,0
26,-0.9409388690256906,26,1,0
27,-1.4387217054634966,27,1,0
28,0.0,28,1,0
29,-0.4438788782084067,29,1,0
30,0.4954043343005856,30,1,0
31,-0.2781064137558129,31,1,0
32,-0.4954043343005856,32,1,0
33,-0.4438788782084067,33,1,0
34,-0.6493405659758353,34,1,0
35,0.7085842983809258,35,1,0
36,-1.2928186653130798,36,1,0
37,-2.2647385395955224,37,1,0
38,-3.730141059100641,38,1,0
39,-1.016064900038701,39,1,0
40,-2.2576992062796464,40,1,0
41,-4.19541083527645,41,1,0
42,-1.839797600581016,42,1,0
43,0.2414363717251737,43,1,0
44,-2.9075568948635304,44,1,0
45,4.403990048380158,45,1,0
46,-1.8605604922720616,46,1,0
47,-0.0954868701417139,47,1,0
48,-4.10259301750768,48,1,0
49,-1.966789868227152,49,1,0
50,-0.9765856715925514,50,1,0
51,-1.280962212430171,51,1,0
52,-1.42526607663165,52,1,0
53,-2.4218373203462225,53,1,0
54,0.8167184638682113,54,1,0
55,0.3122832841334289,55,1,0
56,-5.3776364120538895,56,1,0
57,0.5427115530383466,57,1,0
58,-0.2384331357309963,58,1,0
59,-0.6360038861779538,59,1,0
60,0.2446169095615982,60,1,0
61,-1.0140372441340195,61,1,0
62,-0.0101359093452439,62,1,0
63,-1.968656632672868,63,1,0
64,-2.4863811174817747,64,1,0
65,-3.467488951670328,65,1,0
66,0.7499994214084129,66,1,0
67,-3.231563669331847,67,1,0
68,-3.219450671922076,68,1,0
69,-1.3426924263387323,69,1,0
70,-1.0480418920680603,70,1,0
71,-0.984117366499758,71,1,0
72,-2.505153815093443,72,1,0
73,-3.9411557625193994,73,1,0
74,-0.3515641772768541,74,1,0
75,-3.843257824748484,75,1,0
76,-2.8251716822042123,76,1,0
77,-1.9048606500704568,77,1,0
78,-1.484575481894688,78,1,0
79,-2.041495299967861,79,1,0
80,-3.2720412268762518,80,1,0
81,-1.9862103328868288,81,1,0
82,-0.0390612671216903,82,1,0
83,-4.151933618790301,83,1,0
84,-3.1554805672069675,84,1,0
85,-1.9479886083385671,85,1,0
86,-3.729339798482136,86,1,0
87,0.0116814499682665,87,1,0
88,0.4902638496240312,88,1,0
89,0.1230106626366724,89,1,0
90,-2.1339559224721287,90,1,0
91,-0.6017689187391322,91,1,0
92,-2.7529903090106798,92,1,0
93,-1.266086998069836,93,1,0
94,-3.578536714023134,94,1,0
95,-1.5779649770096051,95,1,0
96,-0.7012022112506466,96,1,0
97,-0.2756986564669991,97,1,0
98,-7.265113118071333,98,1,0
99,-1.1120312391126284,99,1,0
100,-1.659869474287079,100,1,0
101,-0.2065986920014375,101,1,0
102,1.8753764485768796,102,1,0
103,-0.4147301074658469,103,1,0
104,-3.8507778187893456,104,1,0
105,-0.8054789251671299,105,1,0
106,-3.2535256397277346,106,1,0
107,-3.3780477070317207,107,1,0
